City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,touros,-5.1989,-35.4608,25.12,86,10,5.14,BR,1719355736
109,blackmans bay,-43.0167,147.3167,6.4,95,100,3.72,AU,1719355737
110,manokwari,-0.8667,134.0833,24.45,91,100,0.98,ID,1719355738
111,bredasdorp,-34.5322,20.0403,9.41,91,6,0.73,ZA,1719355740
112,blackwater,-23.5833,148.8833,15.85,94,99,4.5,AU,1719355741
113,ritchie,-29.038,24.6028,6.56,44,0,3.13,ZA,1719355654
114,iqaluit,63.7506,-68.5145,1.93,79,57,4.28,CA,1719355509
115,aykhal,66.0,111.5,14.26,60,80,5.3,RU,1719355744
116,ilulissat,69.2167,-51.1,3.01,93,100,2.06,GL,1719355745
117,utrik,11.2278,169.8474,28.08,80,24,8.33,MH,1719355746
118,punta arenas,-53.15,-70.9167,1.06,93,100,3.09,CL,1719355526
119,anadyr,64.75,177.4833,6.28,86,75,9.0,RU,1719355749
120,mar del plata,-38.0023,-57.5575,7.83,73,0,4.63,AR,1719355265
121,hithadhoo,-0.6,73.0833,28.55,77,100,5.96,MV,1719355752
122,iskateley,67.6803,53.1512,3.79,95,100,6.83,RU,1719355753
123,port elizabeth,-33.918,25.5701,13.51,97,0,2.06,ZA,1719355755
124,college,64.8569,-147.8028,25.04,39,40,0.0,US,1719355756
125,invercargill,-46.4,168.35,6.12,99,100,1.39,NZ,1719355665
126,baraki barak,33.9675,68.9486,21.12,42,4,1.05,AF,1719355758
127,road town,18.4167,-64.6167,30.02,79,40,5.14,VG,1719355664
128,murun-kuren,49.6342,100.1625,15.46,79,26,0.95,MN,1719355760
129,mili,6.0815,171.735,28.84,77,41,6.44,MH,1719355762
130,cozumel,20.5083,-86.9458,31.04,70,75,3.6,MX,1719355571
131,zhuanghe,39.7008,122.9911,22.36,52,0,0.56,CN,1719355765
132,antigonish,45.6169,-61.9986,16.68,95,100,2.2,CA,1719355766
133,apac,1.9756,32.5386,17.11,73,14,1.72,UG,1719355767
134,jamaame,0.0697,42.745,24.4,77,65,5.78,SO,1719355768
135,xinzhou,38.4092,112.7333,20.94,33,49,0.92,CN,1719355769
136,kasangulu,-4.5911,15.1708,24.49,69,34,1.52,CD,1719355770
137,caldwell,43.6629,-116.6874,38.07,20,0,2.57,US,1719355772
138,vilyuchinsk,52.9306,158.4028,11.15,73,100,1.16,RU,1719355773
139,mamburao,13.25,120.6667,28.01,75,77,1.34,PH,1719355774
140,samho-rodongjagu,39.9475,127.8711,20.47,61,0,1.23,KP,1719355775
141,sanming,26.2486,117.6186,24.83,93,100,0.91,CN,1719355776
142,ust-nera,64.5667,143.2,11.54,91,100,2.13,RU,1719355777
143,kurayoshi,35.4333,133.8167,21.95,58,97,0.95,JP,1719355778
144,codrington,-38.2667,141.9667,8.33,86,92,7.74,AU,1719355779
145,la punta,-33.1837,-66.3127,4.67,59,29,3.82,AR,1719355781
146,hamilton,39.1834,-84.5333,31.47,61,0,7.2,US,1719355504
147,karratha,-20.7377,116.8463,21.95,63,0,3.03,AU,1719355783
148,polczyn-zdroj,53.7642,16.0957,16.83,88,5,3.39,PL,1719355785
149,boa vista,2.8197,-60.6733,29.99,62,20,2.06,BR,1719355745
150,tome acu,-2.4189,-48.1522,26.2,75,75,0.28,BR,1719355652
151,tzucacab,20.0667,-89.05,29.7,72,100,1.06,MX,1719355789
152,chertkovo,49.3847,40.1547,12.29,76,50,3.4,RU,1719355792
153,kamaishi,39.2667,141.8833,18.83,78,100,2.54,JP,1719355794
154,geraldton,-28.7667,114.6,13.23,88,75,4.12,AU,1719355795
155,griffith,41.5284,-87.4237,29.38,64,0,7.72,US,1719355796
156,lagunillas,10.1301,-71.2595,28.11,81,68,3.5,VE,1719355798
157,santa terezinha,-29.9002,-50.0904,14.85,66,100,4.81,BR,1719355799
158,fort bragg,35.139,-79.006,35.08,36,75,1.54,US,1719355800
159,saipan,15.1355,145.701,29.39,74,75,5.66,MP,1719355597
160,los frentones,-26.4077,-61.4137,11.94,60,100,2.23,AR,1719355802
161,san patricio,28.017,-97.5169,34.4,65,40,6.05,US,1719355803
162,cabedelo,-6.9811,-34.8339,25.37,84,51,5.67,BR,1719355597
163,papatowai,-46.5619,169.4708,10.43,92,100,4.61,NZ,1719355806
164,cockburn town,21.4612,-71.1419,28.39,88,97,7.57,TC,1719355808
165,guanica,17.9716,-66.908,31.88,80,23,7.28,PR,1719355809
166,west island,-12.1568,96.8225,26.99,74,75,6.17,CC,1719355810
167,ocala,29.1872,-82.1401,33.43,73,0,4.12,US,1719355640
168,sesheke,-17.4759,24.2968,12.21,63,0,2.15,ZM,1719355813
169,hawaiian paradise park,19.5933,-154.9731,28.18,69,20,4.63,US,1719355815
170,piro,25.3333,84.4167,33.05,56,98,2.7,IN,1719355816
171,tuy hoa,13.0833,109.3,24.55,94,100,2.51,VN,1719355817
172,stanley,54.868,-1.6985,16.82,91,75,3.6,GB,1719355818
173,tofol,5.3248,163.0078,30.88,70,75,3.09,FM,1719355820
174,suzhou,31.3114,120.6181,21.75,98,100,3.78,CN,1719355821
175,fiambala,-27.6871,-67.6149,8.44,40,35,3.42,AR,1719355823
176,bilibino,68.0546,166.4372,13.24,37,5,1.46,RU,1719355825
177,aksu,41.1231,80.2644,27.07,15,80,2.6,CN,1719355826
178,paranhos,-23.8928,-55.4311,16.34,99,34,1.97,BR,1719355827
179,portland,45.5234,-122.6762,32.25,34,20,2.06,US,1719355503
180,yurimaguas,-5.9,-76.0833,27.69,65,89,0.82,PE,1719355829
181,saudarkrokur,65.7461,-19.6394,8.89,78,98,4.69,IS,1719355830
182,northam,51.0333,-4.2167,16.88,91,37,1.37,GB,1719355832
183,khash,28.2211,61.2158,25.48,15,7,2.07,IR,1719355637
184,tumayr,25.7039,45.868,31.3,15,0,4.95,SA,1719355834
185,kapuskasing,49.4169,-82.4331,17.24,86,47,5.52,CA,1719355835
186,kalkaman,51.9525,76.0211,22.27,48,23,2.32,KZ,1719355836
187,capo d'orlando,38.1435,14.7305,25.76,76,4,2.36,IT,1719355837
188,labe,11.3182,-12.2833,20.17,94,99,1.13,GN,1719355838
189,port harcourt,4.7774,7.0134,23.53,95,100,1.53,NG,1719355810
190,smithers,54.7804,-127.1743,17.92,53,100,1.59,CA,1719355841
191,huarmey,-10.0681,-78.1522,17.98,83,84,3.84,PE,1719355464
192,wake forest,35.9799,-78.5097,35.69,42,75,1.54,US,1719355843
193,inongo,-1.95,18.2667,22.21,61,93,0.89,CD,1719355844
194,zhangjiakou,40.81,114.8794,21.83,39,95,1.17,CN,1719355846
195,unai,-16.3575,-46.9061,20.89,46,1,0.46,BR,1719355587
196,kismayo,-0.3582,42.5454,25.53,74,40,8.77,SO,1719355848
197,marshall,34.3834,-86.3333,36.17,39,0,2.57,US,1719355850
198,severodvinsk,64.5635,39.8302,12.06,94,21,1.45,RU,1719355623
199,abadeh,31.1608,52.6506,21.01,20,3,1.64,IR,1719355853
200,paradip garh,20.3167,86.6167,29.16,82,97,3.39,IN,1719355854
201,hailar,49.2,119.7,21.15,56,100,2.33,CN,1719355855
202,bousso,10.4795,16.7117,29.21,55,81,2.34,TD,1719355857
203,colipapa,9.4726,122.5616,27.66,80,87,2.15,PH,1719355858
204,yuzhno-kurilsk,44.0306,145.8556,11.46,77,59,8.38,RU,1719355860
205,stornoway,58.2093,-6.3865,9.98,90,0,2.06,GB,1719355861
206,piti village,13.4626,144.6933,30.17,82,40,5.66,GU,1719355862
207,sisimiut,66.9395,-53.6735,5.42,81,79,3.64,GL,1719355864
208,alpine,32.835,-116.7664,32.17,51,0,5.66,US,1719355865
209,kolonia,50.9333,6.95,21.64,75,0,2.57,DE,1719355743
210,east london,-33.0153,27.9116,17.0,78,62,1.97,ZA,1719355868
211,taro,-8.3862,115.28,22.0,98,80,0.31,ID,1719355869
212,envira,-7.3,-70.2167,26.81,68,92,0.72,BR,1719355870
213,bougouni,11.417,-7.479,28.35,61,69,1.29,ML,1719355871
214,kristiansund,63.1115,7.732,13.03,85,100,2.57,NO,1719355872
215,scarborough,54.2797,-0.4044,15.76,92,15,0.45,GB,1719355861
216,fortuna,40.5982,-124.1573,17.21,89,20,5.14,US,1719355874
217,pirawa,24.1551,76.0273,31.25,65,88,2.69,IN,1719355875
218,sierra grande,-41.606,-65.3557,6.39,56,62,11.42,AR,1719355756
219,qarqaraly,49.4058,75.4742,15.31,48,2,0.93,KZ,1719355878
220,ghadamis,30.1337,9.5007,30.17,30,0,4.13,LY,1719355879
221,guiuan,11.0333,125.7247,28.98,80,93,6.94,PH,1719355880
222,micheweni,-4.9667,39.8333,24.72,80,21,6.95,TZ,1719355881
223,sima,53.9202,102.0442,13.91,87,93,1.56,RU,1719355665
224,mandan,46.8267,-100.8896,29.09,36,0,5.14,US,1719355883
225,puerto ayora,-0.7393,-90.3518,26.98,95,58,2.24,EC,1719355885
226,simenqian,27.4872,110.8861,19.52,99,100,0.35,CN,1719355886
227,carnot,4.9409,15.8665,21.43,94,59,1.07,CF,1719355887
228,mpulungu,-8.7623,31.1141,19.44,55,0,4.12,ZM,1719355888
229,chernyshevsk,52.5243,117.0174,20.6,63,99,0.98,RU,1719355889
230,sinabang,2.4803,96.3801,25.93,86,94,0.94,ID,1719355890
231,quellon,-43.1167,-73.6167,7.86,91,100,7.36,CL,1719355891
232,bubaque,11.2833,-15.8333,27.37,84,100,4.02,GW,1719355892
233,cururupu,-1.8283,-44.8683,23.06,93,30,1.08,BR,1719355894
234,carutapera,-1.195,-46.02,25.39,86,38,3.15,BR,1719355895
235,carbonear,47.7332,-53.2148,10.89,98,100,5.67,CA,1719355896
236,saint-philippe,-21.3585,55.7679,18.77,83,59,5.44,RE,1719355897
237,ushuaia,-54.8,-68.3,0.81,80,100,1.54,AR,1719355660
238,thinadhoo,0.5333,72.9333,28.69,76,80,5.96,MV,1719355899
239,alice springs,-23.7,133.8833,5.75,81,0,0.0,AU,1719355900
240,kerikeri,-35.2268,173.9474,15.37,70,3,4.84,NZ,1719355902
241,general pico,-35.6566,-63.7568,6.75,67,100,3.36,AR,1719355691
242,salto de agua,17.6167,-92.3667,29.2,81,81,1.74,MX,1719355904
243,tolanaro,-25.0319,46.9987,20.04,88,75,5.14,MG,1719355905
244,vikulovo,56.8167,70.6107,12.41,96,67,3.49,RU,1719355906
245,n'dalatando,-9.2978,14.9116,17.42,80,76,0.49,AO,1719355908
246,puerto baquerizo moreno,-0.9,-89.6,23.55,94,75,4.64,EC,1719355806
247,kalmunai,7.4167,81.8167,28.67,66,100,2.51,LK,1719355910
248,hasaki,35.7333,140.8333,26.22,76,27,5.34,JP,1719355911
249,rongelap,11.1635,166.8941,28.32,81,36,8.09,MH,1719355912
250,morehead city,34.7229,-76.726,29.01,83,75,4.12,US,1719355913
251,puerto lleras,3.0223,-73.4044,23.61,94,58,0.2,CO,1719355916
252,fitzgerald,31.7149,-83.2526,38.09,25,0,3.6,US,1719355917
253,koton-karfe,8.1,6.8,23.94,94,98,2.0,NG,1719355918
254,antalaha,-14.9003,50.2788,21.54,78,22,4.83,MG,1719355808
255,vanimo,-2.6741,141.3028,28.18,76,60,2.15,PG,1719355921
256,lakatoro,-16.0999,167.4164,27.0,72,76,7.0,VU,1719355922
257,gorontalo,0.5412,123.0595,24.71,91,97,1.39,ID,1719355923
258,vadso,70.0744,29.7487,16.49,87,75,2.06,NO,1719355925
259,coruripe,-10.1256,-36.1756,23.72,87,54,3.63,BR,1719355662
260,lebu,-37.6167,-73.65,7.99,83,53,2.42,CL,1719355927
261,kapa'a,22.0752,-159.319,29.99,97,100,6.17,US,1719355928
262,susanville,40.4163,-120.653,29.9,31,95,3.58,US,1719355929
263,sheksna,59.21,38.5107,10.79,88,99,3.03,RU,1719355930
264,tralee,52.2704,-9.7026,9.45,92,19,1.04,IE,1719355825
265,nemuro,43.3236,145.575,11.02,89,100,5.56,JP,1719355932
266,sanctuary point,-35.1114,150.629,14.07,68,2,2.14,AU,1719355934
267,moapa valley,36.5805,-114.4703,43.15,15,36,7.47,US,1719355659
268,wenzhou,27.9994,120.6668,23.98,96,100,0.69,CN,1719355936
269,poltavka,54.3663,71.7632,15.75,78,52,4.32,RU,1719355937
270,alta,69.9689,23.2717,13.44,76,75,1.54,NO,1719355938
271,hami,42.8,93.45,31.95,19,2,7.18,CN,1719355883
272,steamboat springs,40.485,-106.8317,28.31,36,0,4.12,US,1719355940
273,talnakh,69.4865,88.3972,19.71,63,38,4.27,RU,1719355941
274,la passe,45.5549,-0.8967,24.13,84,0,2.95,FR,1719355943
275,kuragino,53.8975,92.6725,18.14,89,74,0.89,RU,1719355944
276,scone,56.4194,-3.4051,13.07,79,100,0.84,GB,1719355945
277,thayetmyo,19.3167,95.1833,25.52,94,100,2.51,MM,1719355946
278,nouadhibou,20.931,-17.0347,19.99,83,1,7.2,MR,1719355947
279,linxia chengguanzhen,35.6003,103.2064,15.29,67,100,1.4,CN,1719355948
280,lihue,21.9789,-159.3672,29.58,94,100,6.17,US,1719355949
281,umluj,25.0213,37.2685,29.39,68,100,2.13,SA,1719355950
282,nova sintra,14.8667,-24.7167,23.01,83,10,8.15,CV,1719355951
283,itaituba,-4.2761,-55.9836,29.09,74,20,1.03,BR,1719355953
284,song cau,13.45,109.2167,24.79,85,100,1.89,VN,1719355954
285,las palmas,28.4204,-14.0131,19.44,73,100,7.72,ES,1719355955
286,georgetown,5.4112,100.3354,27.97,83,20,1.03,MY,1719355657
287,pauini,-7.7136,-66.9764,27.59,57,50,0.58,BR,1719355957
288,at taraf,25.3628,49.725,34.3,15,26,4.83,SA,1719355958
289,sastobe,42.55,70.0,20.94,40,100,3.16,KZ,1719355959
290,fort stockton,30.894,-102.8793,39.03,29,0,3.6,US,1719355961
291,taulaga,-11.0553,-171.0883,27.91,73,37,10.02,AS,1719355962
292,polyarnyy,69.1989,33.4478,13.59,74,69,5.1,RU,1719355963
293,ghanzi,-21.5667,21.7833,9.4,74,24,3.61,BW,1719355964
294,aasiaat,68.7098,-52.8699,2.22,90,100,2.61,GL,1719355965
295,fort st. john,56.2499,-120.8529,18.19,55,53,2.58,CA,1719355960
296,kisangani,0.5167,25.2,23.27,70,2,0.64,CD,1719355967
297,vila franca do campo,37.7167,-25.4333,19.23,99,100,2.08,PT,1719355968
298,vorgashor,67.5833,63.95,16.33,91,98,2.66,RU,1719355969
299,kindu,-2.95,25.95,22.32,48,29,1.56,CD,1719355970
300,achacachi,-16.05,-68.6833,7.17,85,0,3.69,BO,1719355972
301,mejit,10.2753,170.8646,27.34,84,57,7.96,MH,1719355973
302,nuku'alofa,-21.1333,-175.2,26.19,69,0,2.06,TO,1719355974
303,yakutsk,62.0339,129.7331,19.98,56,40,7.0,RU,1719355975
304,praia da vitoria,38.7333,-27.0667,20.14,73,20,1.96,PT,1719355977
305,nelson bay,-32.7167,152.15,11.17,96,1,0.89,AU,1719355979
